ds,y,yhat
04-07-2023,0.013100,
04-08-2023,0.013700,
04-09-2023,0.014300,
04-10-2023,0.014400,
04-11-2023,0.014900,
04-12-2023,0.015100,
04-13-2023,0.015100,
04-14-2023,0.015400,
04-15-2023,0.015700,
04-16-2023,0.015800,
04-17-2023,0.016100,
04-18-2023,0.016400,
04-19-2023,0.016800,
04-20-2023,0.017200,
04-21-2023,0.017600,
04-22-2023,0.017600,
04-23-2023,0.017400,
04-24-2023,0.017400,
04-25-2023,0.017400,
04-26-2023,0.017300,
04-27-2023,0.017400,
04-28-2023,0.017400,0.017425776796017898
04-29-2023,0.017500,0.01740431912439094
04-30-2023,0.017400,0.017257470103044348
05-01-2023,0.017500,0.01749173165821969
05-02-2023,0.017200,0.01762243221328382
05-03-2023,0.017400,0.01731114293557311
05-04-2023,0.017400,0.01746496691309855
05-05-2023,0.017200,0.017482766044595026
05-06-2023,0.017200,0.01735418296671109
05-07-2023,0.017400,0.017042295037115015
05-08-2023,0.017400,0.017245393737111887
05-09-2023,0.017400,0.017161488812096375
05-10-2023,0.017400,0.01727922938356114
05-11-2023,0.017400,0.01736113671588752
05-12-2023,0.017500,0.017405637195473077
05-13-2023,0.017500,0.01757390165236245
05-14-2023,0.017400,0.017599741623360726
05-15-2023,0.017300,0.017553580913182338
05-16-2023,0.017600,0.017232275110980078
05-17-2023,0.017300,0.017516662753124457
