ds,y,yhat
03-18-2023,0.007800,
03-19-2023,0.007900,
03-20-2023,0.008000,
03-21-2023,0.008200,
03-22-2023,0.008400,
03-23-2023,0.008600,
03-24-2023,0.008800,
03-25-2023,0.008800,
03-26-2023,0.008900,
03-27-2023,0.008900,
03-28-2023,0.009300,
03-29-2023,0.009500,
03-30-2023,0.009600,
03-31-2023,0.010000,
04-01-2023,0.010500,
04-02-2023,0.011000,
04-03-2023,0.011400,
04-04-2023,0.011700,
04-05-2023,0.012200,
04-06-2023,0.012600,
04-07-2023,0.013100,
04-08-2023,0.013700,0.013458189779373252
04-09-2023,0.014300,0.014098318741850822
04-10-2023,0.014400,0.014785112974341055
04-11-2023,0.014900,0.014916013412427851
04-12-2023,0.015100,0.015343136968778232
04-13-2023,0.015100,0.015530022580743721
04-14-2023,0.015400,0.015501766348807983
04-15-2023,0.015700,0.015820683226680624
04-16-2023,0.015800,0.016164380219886018
04-17-2023,0.016100,0.015910234304059273
04-18-2023,0.016400,0.016283118293227743
04-19-2023,0.016800,0.01657774241272683
04-20-2023,0.017200,0.016735477615492773
04-21-2023,0.017600,0.017491819932023693
04-22-2023,0.017600,0.018151175393866483
04-23-2023,0.017400,0.018194811202802634
04-24-2023,0.017400,0.01803939961990162
04-25-2023,0.017400,0.018145644916857162
04-26-2023,0.017300,0.017529000651363813
04-27-2023,0.017400,0.01711736743908435
04-28-2023,0.017400,0.017425776796017898
04-29-2023,0.017500,0.01740431912439094
04-30-2023,0.017400,0.017257470103044348
05-01-2023,0.017500,0.01749173165821969
05-02-2023,0.017200,0.01762243221328382
05-03-2023,0.017400,0.01731114293557311
05-04-2023,0.017400,0.01746496691309855
05-05-2023,0.017200,0.017482766044595026
05-06-2023,0.017200,0.01735418296671109
05-07-2023,0.017400,0.017042295037115015
05-08-2023,0.017400,0.017245393737111887
05-09-2023,0.017400,0.017161488812096375
05-10-2023,0.017400,0.01727922938356114
05-11-2023,0.017400,0.01736113671588752
05-12-2023,0.017500,0.017405637195473077
05-13-2023,0.017500,0.01757390165236245
05-14-2023,0.017400,0.017599741623360726
05-15-2023,0.017300,0.017553580913182338
05-16-2023,0.017600,0.017232275110980078
05-17-2023,0.017300,0.017516662753124457
